"Source System","Source Object","Source Field","Transformation Logic","Data Validation","Follow Up","Comment","Derived?","Must Exist in Source Data?","Mapping Required?","Mapped?","OBJECT","Target Field Name","Label","Type",Length,"Custom?","Unique?","Default","Calculated?","Formula","Picklist Values","Createable","Updateable","Nillable","Reference To","Relationship Name","Last Modified Date","Last Modified By","output","filename","Script Step","Script Source","Script Target","Script Name","set_filename","Script Usernames","Script Passwords","Script URLs","Migration Field"
,,,,,,,,,"tbd","no","OpportunitySplit","Related_SE_Manager__c","Related SE Manager","string",1300,"true","false",,"true","Related_SE__r.ManagerId",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Related_SE_Manager_Name__c","Related SE Manager Name","string",1300,"true","false",,"true","Related_SE__r.ManagerName__c",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Related_SE_Role__c","Related SE Role","string",1300,"true","false",,"true","Related_SE__r.UserRole.Name",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","RelatedSEIsCurrentUser__c","RelatedSEIsCurrentUser","double",0,"true","false",,"true","IF($User.Id == Related_SE__c, 1, 0)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","RelatedSEManagerIsCurrentUser__c","RelatedSEManagerIsCurrentUser","double",0,"true","false",,"true","IF( Related_SE_Manager__c == $User.Id, 1, 0 )",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Reseller_PAE__c","Reseller PAE","reference",18,"true","false",,"false",,,"true","true","true","User","Reseller_PAE__r",,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Sales_Team__c","Area Formula","string",1300,"true","false",,"true","TEXT(Sales_Team_Picklist__c)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Sales_Team_Geo__c","Region","string",1300,"true","false",,"true","Region_Text__c",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Sales_Team_Picklist__c","Area","picklist",255,"true","false",,"false",,"APJ - ANZ, APJ - China, APJ - India, APJ - Japan, APJ - N Asia, APJ - Renewals, APJ - SEAK, CALA - Brazil, CALA - MCA, CALA - Mexico, CALA - Renewals, Corporate, EMEA - DACH, EMEA - Emerging, EMEA - FR ES IT, EMEA - MEA, EMEA - Renewals, EMEA - UKI, NA - Central, NA - Commercial, NA - Northeast, NA - Renewals, NA - Service Provider, NA - Southeast, NA - Territory Sales, NA - West, Service Provider Renewal","true","true","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Service__c","Service Split","currency",0,"true","false",,"true","Opportunity.Service_Amount__c *
IF( Opportunity.Override_Splits_for_Renewals__c,
IF( Sales_Team_Geo__c == 'WW-RENEWALS', 0, 1),
SplitPercentage
)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Service_ACV_Split_OPSplit__c","Service ACV Split","currency",0,"true","false",,"true","Opportunity.Services_ACV__c * SplitPercentage",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Split","Name","string",255,"false","false",,"false",,,"false","false","false",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Split_ACV__c","Split ACV","currency",0,"true","false",,"false",,,"true","true","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Split_ACV_Formula__c","Split ACV Formula","currency",0,"true","false",,"true","(Opportunity.First_Year_Amount__c * SplitPercentage)+(Opportunity.Services_ACV__c *SplitPercentage)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Split_ACVE__c","Split ACVE","currency",0,"true","false",,"true","Subscription_First_Year__c  + Service_ACV_Split_OPSplit__c + (( Support_First_Year__c  +  Product__c )/2)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Split_Amount__c","Split TCV","currency",0,"true","false",,"true","SplitPercentage * Opportunity.Amount",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Split_Pipeline_Amount__c","Split Pipeline Amount","currency",0,"true","false",,"true","Opportunity.Pipeline_Amount__c * SplitPercentage",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","SplitAmount","Amount","currency",0,"false","false",,"false",,,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","SplitNote","Note","string",255,"false","false",,"false",,,"true","true","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","SplitOwnerId","User ID","reference",18,"false","false",,"false",,,"true","false","false","User","SplitOwner",,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","SplitPercentage","Percent (%)","percent",0,"false","false",,"false",,,"true","true","false",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","SplitTypeId","Opportunity Split Type ID","reference",18,"false","false",,"false",,,"true","true","true","OpportunitySplitType","SplitType",,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Subscription__c","Subscription","currency",0,"true","false",,"true","Opportunity.Subscription_Amount__c *
IF( Opportunity.Override_Splits_for_Renewals__c,
IF( Sales_Team_Geo__c == 'WW-RENEWALS', 1, 0),
SplitPercentage
)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Subscription_First_Year__c","Subscription First Year Split","currency",0,"true","false",,"true","Opportunity.Subscription_First_Year_Amount__c*
IF( Opportunity.Override_Splits_for_Renewals__c,
IF( Sales_Team_Geo__c == 'WW-RENEWALS', 1, 0),
SplitPercentage
)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Support__c","Support","currency",0,"true","false",,"true","Opportunity.Support_Amount__c *
IF( Opportunity.Override_Splits_for_Renewals__c,
IF( Sales_Team_Geo__c == 'WW-RENEWALS', 1, 0),
SplitPercentage
)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Support_First_Year__c","Support First Year Split","currency",0,"true","false",,"true","Opportunity.Support_First_Year__c *
IF( Opportunity.Override_Splits_for_Renewals__c,
IF( Sales_Team_Geo__c == 'WW-RENEWALS', 1, 0),
SplitPercentage
)",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","SystemModstamp","System Modstamp","datetime",0,"false","false",,"false",,,"false","false","false",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Territory__c","Territory","reference",18,"true","false",,"false",,,"true","true","true","Territory__c","Territory__r",,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Territory_ID__c","Territory ID","string",1300,"true","false",,"true","Territory__r.Id",,"false","false","true",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Territory_Validation__c","Territory Validation","boolean",0,"true","false",,"true","Territory__c == Opportunity.Account.Territory__c",,"false","false","false",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
,,,,,,,,,"tbd","no","OpportunitySplit","Trigger_Territory_Update__c","Trigger Territory Update","boolean",0,"true","false","false","false",,,"true","true","false",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/","file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Docs - DELETED/OpportunitySplit",,,,,"file:///D:/imperva-migration-cpq/Mapping%20Report%20Generator/Imperva Data Mapping_v_1.0",,,,
